,Unnamed: 0,artist,song,uri
0,0, Mark Ronson featuring Bruno Mars ,Uptown Funk,32OlwWuMpZ6b0aN2RZOeMS
1,1, Ed Sheeran ,Thinking Out Loud,34gCuhDGsG4bRPIf9bb02f
2,2, Wiz Khalifa featuring Charlie Puth ,See You Again,7KA4W4McWYRpgf0fWsJZWB
3,3, Fetty Wap ,Trap Queen,2d8JP84HNLKhmd6IYOoupQ
4,4, Maroon 5 ,Sugar,2TfSHkHiFO4gRztVIkggkE
5,5, Walk the Moon ,Shut Up and Dance,4kbj5MwxO1bq9wjT5g9HaA
6,6, Taylor Swift ,Blank Space,1p80LdxRV74UKvL8gnD7ky
7,7, Silentó ,Watch Me,5RIVoVdkDLEygELLCniZFr
8,8, The Weeknd ,Earned It,4frLb7nWtsz2ymBE6k2GRP
9,9, The Weeknd ,The Hills,7fBv7CLKzipRk6EC6TWHOB
10,10, OMI ,Cheerleader,023OVLNzXhX0j7CxswUt6D
11,11, The Weeknd ,Can't Feel My Face,22VdIZQfgXJea34mQxlt81
12,12, Ellie Goulding ,Love Me Like You Do,0Cy7wt6IlRfBPHXXjmZbcP
13,13, Hozier ,Take Me to Church,1CS7Sd1u5tWkstBhpssyjP
14,14, Taylor Swift featuring Kendrick Lamar ,Bad Blood,273dCMFseLcVsoSWx59IoE
15,15, Major Lazer and DJ Snake featuring MØ ,Lean On,1Lim1Py7xBgbAkAys3AGAG
16,16, Jason Derulo ,Want to Want Me,7oGZAicScQt96OAW4AruYy
17,17, Taylor Swift ,Shake It Off,5xTtaWoae3wi06K5WfVUUH
18,18, Skrillex and Diplo featuring Justin Bieber ,Where Are Ü Now,66hayvUbTotekKU3H4ta1f
19,19, Rachel Platten ,Fight Song,37f4ITSlgPX81ad2EvmVQr
20,20, Fetty Wap featuring Remy Boyz ,679,5NQbUaeTEOGdD6hHcre0dZ
21,21, Meghan Trainor ,Lips Are Movin,6gj08XDlv9Duc2fPOxUmVD
22,22, Fifth Harmony featuring Kid Ink ,Worth It,0PQoUlzP7ILdcrzpajHXc0
23,23, Omarion featuring Chris Brown and Jhené Aiko ,Post to Be,0fgZUSa7D7aVvv3GfO0A1n
24,24, Andy Grammer ,"Honey, I'm Good.",4MflGTO2ZTcSQ12bWcyRgI
25,25, Sam Smith ,I'm Not the Only One,7795WJLVKJoAyVoOtCWqXN
26,26, Selena Gomez featuring A$AP Rocky ,Good for You,578Eooad7oUyn4stovZiPg
27,27, Meghan Trainor ,All About That Bass,5jE48hhRu8E6zBDPRSkEq7
28,28, Taylor Swift ,Style,4lIxdJw6W3Fg4vUIYCB0S5
29,29, Drake ,Hotline Bling,0wwPcA6wtMf6HUMpIRdeP7
30,30," David Guetta featuring Nicki Minaj, Bebe Rexha, and Afrojack ",Hey Mama,5b2bu6yyATC1zMXDGScJ2d
31,31, Flo Rida featuring Sage the Gemini and Lookas ,G.D.F.R.,4JgZMoKzK4IqfbpxsixS6I
32,32, Justin Bieber ,What Do You Mean?,4B0JvthVoAAuygILe3n4Bs
33,33, Ed Sheeran ,Photograph,1HNkqx9Ahdgi1Ixy2xkKkL
34,34, Adele ,Hello,2r6OAV3WsYtXuXjvJ1lIDi
35,35, Shawn Mendes ,Stitches,5jsw9uXEGuKyJzs0boZ1bT
36,36, Tove Lo ,Talking Body,2tpfxAXiI52znho4WE3XFA
37,37, Nick Jonas ,Jealous,1aXV8GrmQLvgoFtBPERP7E
38,38, Pitbull and Ne-Yo ,Time of Our Lives,2bJvI42r8EF3wxjOuDav4r
39,39, R. City featuring Adam Levine ,Locked Away,7x5xYW5W42OGPAdHUyyguy
40,40, Natalie La Rose featuring Jeremih ,Somebody,4wCmqSrbyCgxEXROQE6vtV
41,41," Rihanna, Kanye West, and Paul McCartney ",FourFiveSeconds,78TTtXnFQPzwqlbtbwqN0y
42,42, Fall Out Boy ,Centuries,04aAxqtGp5pv12UXAg4pkq
43,43, Fetty Wap featuring Monty ,My Way,2gSVKxPDww9Eep5rdvtdem
44,44, Sam Hunt ,Take Your Time,6DEaND0SHv3sC11xobZLiy
45,45, Maroon 5 ,Animals,2bL2gyO6kBdLkNSkxXNh6x
46,46, Big Sean featuring E-40 ,I Don't Fuck with You,7FYH5AW3bVfZHJIQpq3UOA
47,47, Rihanna ,Bi**h Better Have My Money,0NTMtAO2BV4tnGvw9EgBVq
48,48, Rich Homie Quan ,"Flex (Ooh, Ooh, Ooh)",4T0ScSPdQKmGvruK7pavNP
49,49, T-Wayne ,Nasty Freestyle,0PT7nlpo11hYYyfnBgtilT
50,50," Nicki Minaj featuring Drake, Lil Wayne, and Chris Brown ",Only,4MRT0dDbhqFKl67WzhUbSw
51,51, Sia ,Elastic Heart,5S9lfZu1YF8xKkgSsqL2Bd
52,52, Demi Lovato ,Cool for the Summer,3uwnnTQcHM1rDqSfA4gQNz
53,53, X Ambassadors ,Renegades,0fYVliAYKHuPmECRs1pbRf
54,54, Usher featuring Juicy J ,I Don't Mind,0NkiEX9bdIm7a06pJBbOYs
55,55, Ariana Grande and The Weeknd ,Love Me Harder,5J4ZkQpzMUFojo1CtAZYpn
56,56, Taylor Swift ,Wildest Dreams,59HjlYCeBsxdI0fcm3zglw
57,57, Sam Smith ,Stay with Me,5Nm9ERjJZ5oyfXZTECKmRt
58,58, DJ Snake and AlunaGeorge ,You Know You Like It,57kR5SniQIbsbVoIjjOUDa
59,59, Fall Out Boy ,Uma Thurman,5PUawWFG1oIS2NwEcyHaCr
60,60, Beyoncé ,7/11/2016,7IFKmnMsfG5dB4EIEeLTxp
61,61, Selena Gomez ,The Heart Wants What It Wants,6wJwkMo278iWVlWl1XQ4WA
62,62, Little Big Town ,Girl Crush,11qh54D0PKkBwelpDxxiEU
63,63, Trey Songz ,Slow Motion,4NYwy0R3NdvORX2B6OZXBT
64,64, One Direction ,Drag Me Down,2K87XMYnUMqLcX3zvtAF4G
65,65, Nicki Minaj featuring Drake and Lil Wayne ,Truffle Butter,7e44z4wOjkllaD8eulUeMd
66,66, Ariana Grande ,One Last Time,7xoUc6faLbCqZO6fQEYprd
67,67, Nick Jonas ,Chains,3lUOzabhWYyRImRszpJGOU
68,68, Meek Mill featuring Chris Brown and Nicki Minaj ,All Eyes on You,0hy1SOTEn9ifXTzOwnCwEr
69,69, Rae Sremmurd ,No Type,4scpF6J5uMBvoh6sFB7EL1
70,70, Vance Joy ,Riptide,3JvrhDOgAt6p7K8mDyZwRd
71,71, Jidenna featuring Roman GianArthur ,Classic Man,3G7XYAwtxtoGK7fAm4IlD9
72,72, Elle King ,Ex's & Oh's,70eDxAyAraNTiD6lx2ZEnH
73,73, Meghan Trainor ,Dear Future Husband,3cU2wBxuV6nFiuf6PJZNlC
74,74, Charlie Puth featuring Meghan Trainor ,Marvin Gaye,7tqhbajSfrz2F7E1Z75ASX
75,75, Meghan Trainor featuring John Legend ,Like I'm Gonna Lose You,2YlZnw2ikdb837oKMKjBkW
76,76, Tove Lo ,Habits (Stay High),14OxJlLdcHNpgsm4DRwDOB
77,77, James Newton Howard featuring Jennifer Lawrence ,The Hanging Tree,416MsJxvxSKY96DCmbJIRs
78,78, O.T. Genasis ,CoCo,0aMHIW1lqrulVCx0LLlr6a
79,79," Jessie J, Ariana Grande, and Nicki Minaj ",Bang Bang,0puf9yIluy9W0vpMEUoAnN
80,80, Sam Smith ,Lay Me Down,64GRDrL1efgXclrhVCeuA0
81,81, ILoveMakonnen featuring Drake ,Tuesday,64sn7wgJfeQKY3Jisnl59w
82,82, iLoveMemphis ,Hit the Quan,4OjuzM3rTWp3q60mEldNSF
83,83," Macklemore and Ryan Lewis featuring Eric Nally, Melle Mel, Kool Moe Dee, and Grandmaster Caz ",Downtown,3Ga6eKrUFf12ouh9Yw3v2D
84,84, Sam Hunt ,House Party,1TwLKNsCnhi1HxbIi4bAW0
85,85, Chris Brown and Tyga ,Ayo,0k6DnZMLoEUH8NGD5zh2SE
86,86, Luke Bryan ,Kick the Dust Up,5g15o2Sm55Hn9ShK5yEXgp
87,87, Big Sean featuring Drake ,Blessings,1bzM1cd6oqFozdr4wK6HdR
88,88, George Ezra ,Budapest,2ixsaeFioXJmMgkkbd4uj1
89,89, Sia ,Chandelier,1cwqP7Tyxu5z8XDYoPkNte
90,90, Kelly Clarkson ,Heartbeat Song,7FC9Lng8iXU081lbigu8m8
91,91, Ed Sheeran ,Don't,3pXF1nA74528Edde4of9CC
92,92, Ella Henderson ,Ghost,4h5x3XHLVYFJaItKuO2rhy
93,93, Alessia Cara ,Here,78Sw5GDo6AlGwTwanjXbGh
94,94, Mr Probz ,Waves,3nAq2hCr1oWsIU54tS98pL
